ETRiS_Dev,Bld_Class,GED4ALLstr,Event,Latitude,Longitude,Dam_Scale,Modelling,Comments,Download,Original_doc,Code,
Yes,Reinfornced Concrete; 3 storeys or more,CR/HAPP:3,Tohoku Earthquake and Tsunami 2011,38.24406701,140.9977711,De Risi et al. 2017,"using ""probit"" link function",Model 2,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Japan%202011%20RC%2C%203%20storey%20and%20more_M2.csv,https://doi.org/10.1007/s11069-012-0487-8,11,
Yes,Reinfornced Concrete; 3 storeys or more,CR/HAPP:3,Tohoku Earthquake and Tsunami 2011,38.23406701,140.9877711,De Risi et al. 2017,"using ""cloglog"" link function",Model 3,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Japan%202011%20RC%2C%203%20storey%20and%20more_M3.csv,https://doi.org/10.1007/s11069-012-0487-8,11,
Yes,Steel,S,Tohoku Earthquake and Tsunami 2011,38.18808139,140.9554003,De Risi et al. 2017,"using ""logit"" link function",Model 1,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Japan%202011%20Steel_M1.csv,https://doi.org/10.1007/s11069-012-0487-8,12,
Yes,Steel,S,Tohoku Earthquake and Tsunami 2011,38.17808139,140.9454003,De Risi et al. 2017,"using ""probit"" link function",Model 2,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Japan%202011%20Steel_M2.csv,https://doi.org/10.1007/s11069-012-0487-8,12,
Yes,Steel,S,Tohoku Earthquake and Tsunami 2011,38.16808139,140.9354003,De Risi et al. 2017,"using ""cloglog"" link function",Model 3,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Japan%202011%20Steel_M3.csv,https://doi.org/10.1007/s11069-012-0487-8,12,
Yes,Wood,W,Tohoku Earthquake and Tsunami 2011,38.11739818,140.9293244,De Risi et al. 2017,"using ""logit"" link function",Model 1,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Japan%202011%20Wood_M1.csv,https://doi.org/10.1007/s11069-012-0487-8,13,
Yes,Wood,W,Tohoku Earthquake and Tsunami 2011,38.10739818,140.9193244,De Risi et al. 2017,"using ""probit"" link function",Model 2,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Japan%202011%20Wood_M2.csv,https://doi.org/10.1007/s11069-012-0487-8,13,
Yes,Wood,W,Tohoku Earthquake and Tsunami 2011,38.09739818,140.9093244,De Risi et al. 2017,"using ""cloglog"" link function",Model 3,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Japan%202011%20Wood_M3.csv,https://doi.org/10.1007/s11069-012-0487-8,13,
Yes,Wood; 1 storey,W/HEX:1,Tohoku Earthquake and Tsunami 2011,38.01549582,140.9070975,De Risi et al. 2017,"using ""logit"" link function",Model 1,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Japan%202011_Wood%2C%201%20storey_M1.csv,https://doi.org/10.1007/s11069-012-0487-8,14,
Yes,Wood; 1 storey,W/HEX:1,Tohoku Earthquake and Tsunami 2011,38.00549582,140.8970975,De Risi et al. 2017,"using ""probit"" link function",Model 2,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Japan%202011_Wood%2C%201%20storey_M2.csv,https://doi.org/10.1007/s11069-012-0487-8,14,
